Date,Close
04-01-2010,7.643214
05-01-2010,7.656429
06-01-2010,7.534643
07-01-2010,7.520714
08-01-2010,7.570714
11-01-2010,7.503929
12-01-2010,7.418571
13-01-2010,7.523214
14-01-2010,7.479643
15-01-2010,7.354643
19-01-2010,7.68
20-01-2010,7.561786
21-01-2010,7.431071
22-01-2010,7.0625
25-01-2010,7.2525
26-01-2010,7.355
27-01-2010,7.424286
28-01-2010,7.1175
29-01-2010,6.859286
01-02-2010,6.954643
02-02-2010,6.995
03-02-2010,7.115357
04-02-2010,6.858929
05-02-2010,6.980714
08-02-2010,6.932857
09-02-2010,7.006786
10-02-2010,6.968571
11-02-2010,7.095357
12-02-2010,7.156429
16-02-2010,7.264286
17-02-2010,7.233929
18-02-2010,7.2475
19-02-2010,7.2025
22-02-2010,7.157857
23-02-2010,7.037857
24-02-2010,7.166429
25-02-2010,7.214286
26-02-2010,7.307857
01-03-2010,7.463929
02-03-2010,7.458929
03-03-2010,7.476071
04-03-2010,7.525357
05-03-2010,7.819643
08-03-2010,7.824286
09-03-2010,7.965
10-03-2010,8.03
11-03-2010,8.053571
12-03-2010,8.092857
15-03-2010,7.994286
16-03-2010,8.016071
17-03-2010,8.004286
18-03-2010,8.023214
19-03-2010,7.9375
22-03-2010,8.026786
23-03-2010,8.155714
24-03-2010,8.191786
25-03-2010,8.094643
26-03-2010,8.246429
29-03-2010,8.299643
30-03-2010,8.423214
31-03-2010,8.392857
01-04-2010,8.4275
05-04-2010,8.5175
06-04-2010,8.555
07-04-2010,8.592857
08-04-2010,8.569643
09-04-2010,8.635357
12-04-2010,8.653214
13-04-2010,8.658214
14-04-2010,8.774643
15-04-2010,8.89
16-04-2010,8.835714
19-04-2010,8.823929
20-04-2010,8.735357
21-04-2010,9.257857
22-04-2010,9.516786
23-04-2010,9.6725
26-04-2010,9.625
27-04-2010,9.358571
28-04-2010,9.342857
29-04-2010,9.594286
30-04-2010,9.324643
03-05-2010,9.5125
04-05-2010,9.238571
05-05-2010,9.1425
06-05-2010,8.794643
07-05-2010,8.423571
10-05-2010,9.071071
11-05-2010,9.161429
12-05-2010,9.360357
13-05-2010,9.227143
14-05-2010,9.065
17-05-2010,9.079286
18-05-2010,9.012857
19-05-2010,8.869286
20-05-2010,8.491429
21-05-2010,8.654286
24-05-2010,8.812857
25-05-2010,8.757857
26-05-2010,8.718214
27-05-2010,9.048214
28-05-2010,9.174286
01-06-2010,9.315357
