Date,Close
02-01-2008,2609.629883
03-01-2008,2602.679932
04-01-2008,2504.649902
07-01-2008,2499.459961
08-01-2008,2440.51001
09-01-2008,2474.550049
10-01-2008,2488.52002
11-01-2008,2439.939941
14-01-2008,2478.300049
15-01-2008,2417.590088
16-01-2008,2394.590088
17-01-2008,2346.899902
18-01-2008,2340.02002
22-01-2008,2292.27002
23-01-2008,2316.409912
24-01-2008,2360.919922
25-01-2008,2326.199951
28-01-2008,2349.909912
29-01-2008,2358.060059
30-01-2008,2349
31-01-2008,2389.860107
01-02-2008,2413.360107
04-02-2008,2382.850098
05-02-2008,2309.570068
06-02-2008,2278.75
07-02-2008,2293.030029
08-02-2008,2304.850098
11-02-2008,2320.060059
12-02-2008,2320.040039
13-02-2008,2373.929932
14-02-2008,2332.540039
15-02-2008,2321.800049
19-02-2008,2306.199951
20-02-2008,2327.100098
21-02-2008,2299.780029
22-02-2008,2303.350098
25-02-2008,2327.47998
26-02-2008,2344.98999
27-02-2008,2353.780029
28-02-2008,2331.570068
29-02-2008,2271.47998
03-03-2008,2258.600098
04-03-2008,2260.280029
05-03-2008,2272.810059
06-03-2008,2220.5
07-03-2008,2212.48999
10-03-2008,2169.340088
11-03-2008,2255.76001
12-03-2008,2243.870117
13-03-2008,2263.610107
14-03-2008,2212.48999
17-03-2008,2177.01001
18-03-2008,2268.26001
19-03-2008,2209.959961
20-03-2008,2258.110107
24-03-2008,2326.75
25-03-2008,2341.050049
26-03-2008,2324.360107
27-03-2008,2280.830078
28-03-2008,2261.179932
31-03-2008,2279.100098
01-04-2008,2362.75
02-04-2008,2361.399902
03-04-2008,2363.300049
04-04-2008,2370.97998
07-04-2008,2364.830078
08-04-2008,2348.76001
09-04-2008,2322.120117
10-04-2008,2351.699951
11-04-2008,2290.23999
14-04-2008,2275.820068
15-04-2008,2286.040039
16-04-2008,2350.110107
17-04-2008,2341.830078
18-04-2008,2402.969971
21-04-2008,2408.040039
22-04-2008,2376.939941
23-04-2008,2405.209961
24-04-2008,2428.919922
25-04-2008,2422.929932
28-04-2008,2424.399902
29-04-2008,2426.100098
30-04-2008,2412.800049
01-05-2008,2480.709961
02-05-2008,2476.98999
05-05-2008,2464.120117
06-05-2008,2483.310059
07-05-2008,2438.48999
08-05-2008,2451.23999
09-05-2008,2445.52002
12-05-2008,2488.48999
13-05-2008,2495.120117
14-05-2008,2496.699951
15-05-2008,2533.72998
16-05-2008,2528.850098
19-05-2008,2516.090088
20-05-2008,2492.26001
21-05-2008,2448.27002
22-05-2008,2464.580078
23-05-2008,2444.669922
27-05-2008,2481.23999
28-05-2008,2486.699951
29-05-2008,2508.320068
30-05-2008,2522.659912
02-06-2008,2491.530029
03-06-2008,2480.47998
04-06-2008,2503.139893
05-06-2008,2549.939941
06-06-2008,2474.560059
09-06-2008,2459.459961
10-06-2008,2448.939941
11-06-2008,2394.01001
12-06-2008,2404.350098
13-06-2008,2454.5
16-06-2008,2474.780029
17-06-2008,2457.72998
18-06-2008,2429.709961
19-06-2008,2462.060059
20-06-2008,2406.090088
23-06-2008,2385.73999
24-06-2008,2368.280029
25-06-2008,2401.26001
26-06-2008,2321.370117
27-06-2008,2315.629883
30-06-2008,2292.97998
